Close,Date,High,Low,Open,Volume
1.12262,2015-08-31T11:00:00.000000000Z,1.12352,1.12032,1.12096,2498
1.12062,2015-08-31T13:00:00.000000000Z,1.12439,1.11803,1.12264,5412
1.12041,2015-08-31T15:00:00.000000000Z,1.12179,1.11907,1.12059,4417
1.12372,2015-08-31T17:00:00.000000000Z,1.12398,1.12038,1.12043,2295
1.1211,2015-08-31T19:00:00.000000000Z,1.12401,1.12096,1.12374,2095
1.12181,2015-08-31T21:00:00.000000000Z,1.12201,1.12084,1.12126,559
1.12431,2015-08-31T23:00:00.000000000Z,1.12485,1.12154,1.12182,1642
1.12704,2015-09-01T01:00:00.000000000Z,1.12773,1.1237,1.12432,2417
1.12694,2015-09-01T03:00:00.000000000Z,1.12752,1.12603,1.12707,1570
1.12833,2015-09-01T05:00:00.000000000Z,1.12985,1.12642,1.12696,3099
1.12756,2015-09-01T07:00:00.000000000Z,1.13323,1.12627,1.1283,8337
1.12711,2015-09-01T09:00:00.000000000Z,1.12846,1.12537,1.12753,4880
1.1261,2015-09-01T11:00:00.000000000Z,1.12713,1.12335,1.12713,4651
1.1211,2015-08-31T19:00:00.000000000Z,1.12401,1.12096,1.12374,2095
1.12181,2015-08-31T21:00:00.000000000Z,1.12201,1.12084,1.12126,559
1.12431,2015-08-31T23:00:00.000000000Z,1.12485,1.12154,1.12182,1642
1.12704,2015-09-01T01:00:00.000000000Z,1.12773,1.1237,1.12432,2417
1.12694,2015-09-01T03:00:00.000000000Z,1.12752,1.12603,1.12707,1570
1.12833,2015-09-01T05:00:00.000000000Z,1.12985,1.12642,1.12696,3099
1.12756,2015-09-01T07:00:00.000000000Z,1.13323,1.12627,1.1283,8337
1.12711,2015-09-01T09:00:00.000000000Z,1.12846,1.12537,1.12753,4880
1.1261,2015-09-01T11:00:00.000000000Z,1.12713,1.12335,1.12713,4651
1.12562,2015-09-01T13:00:00.000000000Z,1.12815,1.12345,1.12608,10422
1.12707,2015-09-01T15:00:00.000000000Z,1.12813,1.12482,1.1256,6291
1.12928,2015-09-01T17:00:00.000000000Z,1.13133,1.12677,1.12705,5773
1.13145,2015-09-01T19:00:00.000000000Z,1.13194,1.12857,1.12928,3641
1.12987,2015-09-01T21:00:00.000000000Z,1.13193,1.12964,1.13125,1466
1.12671,2015-09-01T23:00:00.000000000Z,1.13006,1.12649,1.12983,3170
1.12847,2015-09-02T01:00:00.000000000Z,1.12866,1.12608,1.12669,2540
1.1279,2015-09-02T03:00:00.000000000Z,1.12913,1.12712,1.12845,1608
1.12806,2015-09-02T05:00:00.000000000Z,1.12917,1.12669,1.12787,2718
1.12806,2015-09-02T07:00:00.000000000Z,1.12912,1.12425,1.12803,5157
1.12678,2015-09-02T09:00:00.000000000Z,1.12942,1.12566,1.12806,4157
